host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server
h1,356.313,0.0,39,3,10000000,36.508861,0.996053,24.037024,67209812,67371008,-161196,-0.239839980507608,1,h14
h2,611.642,0.0,35,3,10000000,35.34036,0.993995,22.214918,67209812,67108864,100948,0.1501983073542893,1,h14
h3,208.592,0.0,26,2,10000000,28.094832,0.979416,16.864742,67209812,65798144,1411668,2.1003897466637755,1,h14
h4,305.698,0.0,32,4,10000000,25.906171,0.96903,15.090537,67209812,62652416,4557396,6.780849201006543,1,h14
h5,520.587,0.0,35,2,10000000,23.918251,0.960588,14.043732,67209812,60293120,6916692,10.29119379176362,1,h14
h6,334.45,0.0,14,1,10000000,21.167413,0.941604,12.336142,67209812,59244544,7965268,11.851346943211208,1,h14
h1,277.239,0.0,67,3,10000000,16.979608,0.780981,6.595178,67209812,41943040,25266772,37.59387394209643,1,h14
h2,578.34,0.0,59,3,10000000,16.979608,0.780981,6.595178,67209812,41943040,25266772,37.59387394209643,1,h14
h3,292.97,0.0,48,2,10000000,16.970451,0.779501,6.565943,67209812,41943040,25266772,37.59387394209643,1,h14
h4,338.254,0.0,73,3,10000000,17.141199,0.818512,7.411518,67209812,41680896,25528916,37.98391222995833,1,h14
h5,509.952,0.0,51,2,10000000,14.364954,0.802022,7.033829,67209812,41680896,25528916,37.98391222995833,1,h14
h6,306.233,0.0,23,1,10000000,14.36875,0.800865,7.00852,67209812,41418752,25791060,38.37395051782023,1,h14
h1,381.809,0.0,66,5,10000000,36.532767,0.995868,23.838896,67209812,67371008,-161196,-0.239839980507608,1,h14
h2,505.097,0.0,72,3,10000000,36.336197,0.994304,22.44407,67209812,67108864,100948,0.1501983073542893,1,h14
h3,208.818,0.0,51,2,10000000,29.393269,0.980941,17.199076,67209812,65798144,1411668,2.1003897466637755,1,h14
h4,313.214,0.0,44,4,10000000,25.507094,0.96707,14.824148,67209812,62652416,4557396,6.780849201006543,1,h14
h5,556.038,0.0,49,2,10000000,25.919128,0.96525,14.590393,67209812,60293120,6916692,10.29119379176362,1,h14
h6,358.702,0.0,25,1,10000000,20.928805,0.938577,12.116694,67209812,59244544,7965268,11.851346943211208,1,h14
h1,368.672,0.0,70,3,10000000,36.044769,0.995465,23.434403,67209812,67371008,-161196,-0.239839980507608,1,h14
h2,655.952,0.0,69,3,10000000,35.665555,0.994057,22.260179,67209812,67108864,100948,0.1501983073542893,1,h14
h3,208.763,0.0,44,2,10000000,28.973862,0.980037,16.997755,67209812,65798144,1411668,2.1003897466637755,1,h14
h4,339.35,0.0,63,3,10000000,26.360228,0.968252,14.982866,67209812,62652416,4557396,6.780849201006543,1,h14
h5,535.946,0.0,43,2,10000000,25.889589,0.964833,14.538598,67209812,60030976,7178836,10.681232079625516,1,h14
h6,356.139,0.0,21,1,10000000,21.090711,0.940588,12.261286,67209812,59244544,7965268,11.851346943211208,1,h14
h1,382.931,0.0,47,3,10000000,36.46469,0.995624,23.588783,67209812,67371008,-161196,-0.239839980507608,1,h14
h2,675.983,0.0,48,3,10000000,35.28626,0.992061,21.002208,67209812,67108864,100948,0.1501983073542893,1,h14
h3,210.064,0.0,23,2,10000000,27.737891,0.977942,16.564361,67209812,65798144,1411668,2.1003897466637755,1,h14
h4,260.556,0.0,50,3,10000000,24.645879,0.963068,14.325931,67209812,62652416,4557396,6.780849201006543,1,h14
h5,621.49,0.0,23,2,10000000,25.834693,0.964999,14.55915,67209812,60030976,7178836,10.681232079625516,1,h14
h6,309.511,0.0,10,1,10000000,25.649635,0.962986,14.316346,67209812,59244544,7965268,11.851346943211208,1,h14
h1,332.125,0.0,96,4,10000000,36.419266,0.996195,24.196239,67209812,67371008,-161196,-0.239839980507608,1,h10
h2,594.557,0.0,91,4,10000000,32.606919,0.990629,20.282341,67209812,67108864,100948,0.1501983073542893,1,h10
h3,315.043,0.0,104,4,10000000,25.565637,0.974108,15.868275,67209812,65798144,1411668,2.1003897466637755,1,h10
h4,258.955,0.0,73,3,10000000,26.706373,0.970362,15.281538,67209812,62652416,4557396,6.780849201006543,1,h10
h5,603.931,0.0,96,4,10000000,26.1023,0.967155,14.835306,67209812,60293120,6916692,10.29119379176362,1,h10
h6,374.114,0.0,78,3,10000000,21.310743,0.943971,12.515835,67209812,59244544,7965268,11.851346943211208,1,h10
h1,659.366,0.0,108,5,10000000,29.370403,0.99395,22.182095,67209812,67371008,-161196,-0.239839980507608,1,h10
h2,1064.968,0.0,134,6,10000000,11.953699,0.46226,2.694273,67209812,67371008,-161196,-0.239839980507608,1,h10
h3,633.764,0.0,82,4,10000000,25.390901,0.973552,15.776064,67209812,65798144,1411668,2.1003897466637755,1,h10
h4,566.306,0.0,100,5,10000000,25.051785,0.963963,14.432496,67209812,62390272,4819540,7.170887488868441,1,h10
h5,320.442,0.0,79,4,10000000,25.083002,0.960903,14.078612,67209812,60030976,7178836,10.681232079625516,1,h10
h6,269.487,0.0,54,3,10000000,20.872069,0.939757,12.200918,67209812,59244544,7965268,11.851346943211208,1,h10
h1,376.6,0.0,119,5,10000000,36.546918,0.996388,24.422034,67209812,67371008,-161196,-0.239839980507608,1,h10
h2,546.577,0.0,98,4,10000000,32.882865,0.992005,20.971979,67209812,67108864,100948,0.1501983073542893,1,h10
h3,316.969,0.0,96,4,10000000,25.254618,0.975064,16.031705,67209812,65798144,1411668,2.1003897466637755,1,h10
h4,491.713,0.0,131,3,10000000,26.314662,0.967641,14.900041,67209812,62652416,4557396,6.780849201006543,1,h10
h5,557.563,0.0,98,4,10000000,25.816383,0.964858,14.541761,67209812,60293120,6916692,10.29119379176362,1,h10
h6,324.565,0.0,74,3,10000000,21.500638,0.943228,12.458646,67209812,59244544,7965268,11.851346943211208,1,h10
h1,400.715,0.0,74,4,10000000,36.417407,0.99576,23.726273,67209812,67371008,-161196,-0.239839980507608,1,h10
h2,586.13,0.0,84,4,10000000,35.214588,0.993761,22.048511,67209812,67108864,100948,0.1501983073542893,1,h10
h3,314.457,0.0,91,4,10000000,28.225187,0.979657,16.915778,67209812,65798144,1411668,2.1003897466637755,1,h10
h4,262.933,0.0,48,3,10000000,27.114339,0.970074,15.239555,67209812,62652416,4557396,6.780849201006543,1,h10
h5,656.432,0.0,69,4,10000000,25.895052,0.965485,14.619956,67209812,60293120,6916692,10.29119379176362,1,h10
h6,421.603,0.0,68,3,10000000,25.501565,0.960329,14.01526,67209812,59244544,7965268,11.851346943211208,1,h10
h1,344.926,0.0,104,4,10000000,36.417407,0.995723,23.688227,67209812,67371008,-161196,-0.239839980507608,1,h10
h2,611.792,0.0,83,4,10000000,35.750227,0.994256,22.407669,67209812,67108864,100948,0.1501983073542893,1,h10
h3,318.584,0.0,100,4,10000000,26.265605,0.974835,15.992067,67209812,65798144,1411668,2.1003897466637755,1,h10
h4,257.259,0.0,79,3,10000000,26.556764,0.969138,15.105736,67209812,62652416,4557396,6.780849201006543,1,h10
h5,622.832,0.0,101,4,10000000,24.087,0.959908,13.969464,67209812,60293120,6916692,10.29119379176362,1,h10
h6,394.893,0.0,76,3,10000000,25.476328,0.960997,14.089064,67209812,59244544,7965268,11.851346943211208,1,h10
h1,423.718,0.0,83,6,10000000,39.660638,0.998411,27.988251,67209812,67371008,-161196,-0.239839980507608,2,h10
h2,361.907,0.0,73,5,10000000,39.927717,0.998268,27.613499,67209812,67371008,-161196,-0.239839980507608,2,h10
h3,284.551,0.0,26,2,10000000,34.753959,0.994145,22.324655,67209812,67371008,-161196,-0.239839980507608,2,h14
h4,258.685,0.0,74,3,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h5,212.833,0.0,33,2,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h6,156.931,0.0,18,1,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h1,306.37,0.0,64,4,10000000,29.781762,0.99429,22.433451,67209812,67371008,-161196,-0.239839980507608,2,h10
h2,254.624,0.0,74,3,10000000,40.498665,0.998433,28.0498,67209812,67371008,-161196,-0.239839980507608,2,h14
h3,360.043,0.0,50,2,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h4,262.797,0.0,50,2,10000000,39.780698,0.998482,28.188492,67209812,67371008,-161196,-0.239839980507608,2,h14
h5,343.519,0.0,69,4,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h6,312.422,0.0,50,2,10000000,12.891683,0.538572,3.358965,67209812,13631488,53578324,79.71800903118134,2,h14
h1,307.844,0.0,92,4,10000000,35.933924,0.995445,23.414952,67209812,67371008,-161196,-0.239839980507608,2,h14
h2,305.307,0.0,83,4,10000000,36.349804,0.996181,24.180836,67209812,67371008,-161196,-0.239839980507608,2,h10
h3,303.442,0.0,150,4,10000000,34.79264,0.995407,23.37881,67209812,67371008,-161196,-0.239839980507608,2,h10
h4,,100.0,73,3,10000000,39.449466,0.997975,26.935882,67209812,67371008,-161196,-0.239839980507608,2,h14
h5,360.933,0.0,95,4,10000000,32.966933,0.992882,21.476432,67209812,67371008,-161196,-0.239839980507608,2,h10
h6,253.497,0.0,27,1,10000000,40.417984,0.998392,27.935811,67209812,67371008,-161196,-0.239839980507608,2,h14
h1,307.063,0.0,101,4,10000000,38.394536,0.997739,26.457854,67209812,67371008,-161196,-0.239839980507608,2,h10
h2,262.648,0.0,79,3,10000000,39.792945,0.998124,27.267728,67209812,67371008,-161196,-0.239839980507608,2,h14
h3,315.356,0.0,108,4,10000000,36.235571,0.996856,25.025199,67209812,67371008,-161196,-0.239839980507608,2,h10
h4,255.19,0.0,84,3,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h5,209.395,0.0,54,2,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h6,158.809,0.0,28,1,10000000,39.756458,0.998472,28.158565,67209812,67371008,-161196,-0.239839980507608,2,h14
h1,339.378,0.0,75,3,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h2,311.002,0.0,97,4,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h3,216.067,0.0,50,2,10000000,39.430045,0.998118,27.253697,67209812,67371008,-161196,-0.239839980507608,2,h14
h4,266.581,0.0,73,3,10000000,39.780649,0.998484,28.193156,67209812,67371008,-161196,-0.239839980507608,2,h10
h5,359.236,0.0,112,5,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h6,160.469,0.0,25,1,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h1,331.363,0.0,72,3,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h2,307.576,0.0,108,4,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h3,207.243,0.0,48,2,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h4,264.513,0.0,75,3,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h5,218.366,0.0,50,2,10000000,38.497535,0.998119,27.25613,67209812,67371008,-161196,-0.239839980507608,2,h14
h6,261.276,0.0,68,3,10000000,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10

